Abomasnow, #460, Generation IV, 2.2 m, 135.5 kg, Frost Tree Pokemon, White, Grass, Ice, N/A, 
Abra, #063, Generation I, 0.9 m, 19.5 kg, Psi Pokemon, Brown, Psychic, N/A, N/A, 
Absol, #359, Generation III, 1.2 m, 47.0 kg, Disaster Pokemon, White, Dark, N/A, N/A, 
Accelgor, #617, Generation V, 0.8 m, 25.3 kg, Shell Out Pokemon, Red, Bug, N/A, N/A, 
Aegislash, #681, Generation VI, 1.7 m, 53.0 kg, Royal Sword Pokemon, Brown, Steel, Ghost, N/A, 
Aerodactyl, #142, Generation I, 1.8 m, 59.0 kg, Fossil Pokemon, Purple, Rock, Flying, Fossil, 
Aggron, #306, Generation III, 2.1 m, 360.0 kg, Iron Armor Pokemon, Gray, Steel, Rock, N/A, 
Aipom, #190, Generation II, 0.8 m, 11.5 kg, Long Tail Pokemon, Purple, Normal, N/A, N/A, 
Alakazam, #065, Generation I, 1.5 m, 48.0 kg, Psi Pokemon, Brown, Psychic, N/A, N/A, 
Alcremie, #869, Generation VIII, 0.3 m, 0.5 kg, Cream Pokemon, White, Fairy, N/A, N/A, 
Alomomola, #594, Generation V, 1.2 m, 31.6 kg, Caring Pokemon, Pink, Water, N/A, N/A, 
Altaria, #334, Generation III, 1.1 m, 20.6 kg, Humming Pokemon, Blue, Dragon, Flying, N/A, 
Amaura, #698, Generation VI, 1.3 m, 25.2 kg, Tundra Pokemon, Blue, Rock, Ice, Fossil, 
Ambipom, #424, Generation IV, 1.2 m, 20.3 kg, Long Tail Pokemon, Purple, Normal, N/A, N/A, 
Amoonguss, #591, Generation V, 0.6 m, 10.5 kg, Mushroom Pokemon, White, Grass, Poison, N/A, 
Ampharos, #181, Generation II, 1.4 m, 61.5 kg, Light Pokemon, Yellow, Electric, N/A, N/A, 
Anorith, #347, Generation III, 0.7 m, 12.5 kg, Old Shrimp Pokemon, Gray, Rock, Bug, Fossil, 
Appletun, #842, Generation VIII, 0.4 m, 13.0 kg, Apple Nectar Pokemon, Green, Grass, Dragon, N/A, 
Applin, #840, Generation VIII, 0.2 m, 0.5 kg, Apple Core Pokemon, Green, Grass, Dragon, N/A, 
Araquanid, #752, Generation VII, 1.8 m, 82.0 kg, Water Bubble Pokemon, Green, Water, Bug, N/A, 
Arbok, #024, Generation I, 3.5 m, 65.0 kg, Cobra Pokemon, Purple, Poison, N/A, N/A, 
